model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,23, irres,-0.0702
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,24,抛,-0.0698
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,25,隩,-0.0693
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,26,狸,-0.0688
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,27,borg,-0.0687
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,28, reperc,-0.0686
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,29,AMIL,-0.0684
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,30,彻底,-0.0678
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,31,_visible,-0.0676
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,32,览,-0.0676
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,33,无聊,-0.0673
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,34, dull,-0.0671
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,35, onCreate,-0.0671
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,36, judgment,-0.067
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,37,AILS,-0.0669
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,38, Werner,-0.0669
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,39,步行,-0.0667
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,40,读后,-0.0664
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,41, преж,-0.0661
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,42, вне,-0.066
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,43,商业模式,-0.0656
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,44,赶,-0.0656
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,45,几家,-0.0656
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,46, Witt,-0.0654
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,47,懒,-0.0652
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,48,kte,-0.0651
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,49,/js,-0.0651
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,50,.Concat,-0.0649
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,51, vidé,-0.0649
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,52,klass,-0.0647
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,53,ForResult,-0.0647
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,54,遥,-0.0647
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,55,聒,-0.0644
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,56, Ive,-0.0644
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,57,jak,-0.0644
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,58,劝,-0.0644
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,59,يكا,-0.0644
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,60,etting,-0.0641
